#{"t_start": 1759987917.581716, "env_id": "None"}
r,l,t
535.8,462,1.76282
488.2,620,2.298776
521.5,577,2.818399
132.3,1439,5.387027
72.3,1514,7.760623
682.8,77,7.823807
583.0,362,8.128625
616.6,252,8.337952
454.7,690,8.965375
551.4,468,10.350026
617.0,250,10.58247
251.7,1320,11.699995
334.4,1083,13.823348
-75.8,1970,16.574428
645.6,215,16.778138
490.9,603,17.301337
429.8,754,18.997773
295.0,1042,19.868372
253.6,1276,21.997025
552.4,401,22.327331
603.0,281,22.56437
641.9,179,22.715693
470.3,617,24.108714
289.5,1052,25.017081
427.9,691,25.592757
495.8,549,26.969585
524.0,542,27.493857
559.7,324,27.758391
329.2,1165,29.621119
406.5,831,30.312405
610.1,248,30.527573
375.7,885,32.203473
400.5,902,32.950973
651.6,157,33.083923
621.6,228,33.277436
435.6,726,34.840294
631.7,176,34.989098
582.9,294,35.235901
649.7,191,35.398502
488.2,605,35.914646
624.7,190,36.077398
284.7,1115,37.931283
635.1,195,38.092521
630.9,208,38.264632
636.2,191,38.427202
340.8,885,40.106303
649.2,122,40.211869
657.2,151,40.34282
564.3,419,40.696817
236.8,1424,42.777183
581.4,348,43.062211
303.9,866,43.764988
394.0,685,45.216262
413.9,683,45.774862
668.3,104,45.862462
573.0,405,46.199664
618.0,210,46.375946
467.5,687,47.835945
637.2,196,48.006221
175.5,1312,49.185541
588.2,321,49.451984
382.5,822,51.088044
499.7,508,51.524487
163.0,1377,53.587924
257.6,1186,54.670879
632.5,205,54.854917
382.5,822,56.429173
649.5,153,56.559837
492.3,682,57.136623
503.8,544,58.480694
641.2,184,58.633257
294.8,1224,59.724524
405.4,778,61.229183
569.9,332,61.508287
541.8,439,61.905454
282.4,969,62.765546
590.6,320,63.868539
48.4,1783,65.435884
641.5,192,66.487772
216.4,1258,67.523714
502.3,564,67.983323
650.9,184,68.955294
